148;Carne Com Osso
149;Carne sem Osso
150;Carne Suína Fresca
151;Carne/Pedaços Frescos de Aves
152;Carne/Pedaços Congelados de Ave
153;Carne Suína Defumada/Salgada
154;Linguiça/Enchidos
155;Outras preparações de aves
156;Outras preparações de carne suína
157;Refeição crustáceos/moluscos
158;Outras preparações de chocolate
159;Massas Não Cozidas c/ Ovos
160;Massas Não Cozidas
161;Massas recheadas
162;Outras massas alimentícias
163;Produtos a base de Cereais
164;Pães
165;Bolachas/Biscoitos
166;Waffles
167;Outros produtos de padaria
168;Polpa de Fruta
169;Suco de Frutas
170;Refeição
171;Vodca
172;Amassiante
173;Guardanapo/Papel Toalha
174;Artigos Téxtil
175;Lapiseiras
